review_date,movie_id,avg_rating,review_count
2025-10-15,3,4.04,211
2025-10-15,4,2.9,78
2025-10-15,5,3.15,60
2025-10-15,6,3.99,43
2025-10-15,7,2.88,84
2025-10-15,8,3.51,82
2025-10-22,1,4.35,30
2025-10-22,2,4.19,138
2025-10-22,3,4.39,111
2025-10-22,4,3.16,217
2025-10-22,5,3.6,91
2025-10-22,6,4.52,100
2025-10-22,7,2.72,239
2025-10-22,8,3.25,45
