period_start,movie_id,city,engagement_score
2025-02-12,2,Chennai,40.24
2025-02-12,2,Pune,62.06
2025-02-12,2,Kolkata,48.77
2025-02-12,3,Mumbai,34.62
2025-02-12,3,Delhi,52.14
2025-02-12,3,Bengaluru,65.22
2025-02-12,3,Hyderabad,65.76
2025-02-12,3,Chennai,72.11
2025-02-12,3,Pune,49.43
2025-02-12,3,Kolkata,54.72
2025-02-12,4,Mumbai,40.58
2025-02-12,4,Delhi,80.29
2025-02-12,4,Bengaluru,50.28
2025-02-12,4,Hyderabad,53.59
2025-02-12,4,Chennai,51.57
2025-02-12,4,Pune,61.72
2025-02-12,4,Kolkata,79.97
2025-02-12,5,Mumbai,67.16
2025-02-12,5,Delhi,36.31
2025-02-12,5,Bengaluru,62.06
2025-02-12,5,Hyderabad,35.13
2025-02-12,5,Chennai,44.75
2025-02-12,5,Pune,78.81
2025-02-12,5,Kolkata,67.99
2025-02-12,6,Mumbai,55.88
2025-02-12,6,Delhi,62.78
2025-02-12,6,Bengaluru,63.59
2025-02-12,6,Hyderabad,45.98
2025-02-12,6,Chennai,65.71
2025-02-12,6,Pune,68.13
2025-02-12,6,Kolkata,51.26
2025-02-12,7,Mumbai,62.81
2025-02-12,7,Delhi,56.52
2025-02-12,7,Bengaluru,61.51
2025-02-12,7,Hyderabad,50.8
2025-02-12,7,Chennai,60.24
2025-02-12,7,Pune,60.12
2025-02-12,7,Kolkata,43.74
2025-02-12,8,Mumbai,65.98
2025-02-12,8,Delhi,47.48
2025-02-12,8,Bengaluru,63.0
2025-02-12,8,Hyderabad,56.95
2025-02-12,8,Chennai,58.15
2025-02-12,8,Pune,40.58
2025-02-12,8,Kolkata,54.25
2025-02-26,1,Mumbai,42.04
2025-02-26,1,Delhi,35.97
2025-02-26,1,Bengaluru,67.23
2025-02-26,1,Hyderabad,56.44
2025-02-26,1,Chennai,58.83
2025-02-26,1,Pune,66.45
2025-02-26,1,Kolkata,64.68
2025-02-26,2,Mumbai,51.48
2025-02-26,2,Delhi,55.48
2025-02-26,2,Bengaluru,66.34
2025-02-26,2,Hyderabad,75.82
2025-02-26,2,Chennai,65.32
2025-02-26,2,Pune,61.91
2025-02-26,2,Kolkata,71.16
2025-02-26,3,Mumbai,44.7
2025-02-26,3,Delhi,57.33
2025-02-26,3,Bengaluru,43.9
2025-02-26,3,Hyderabad,59.5
2025-02-26,3,Chennai,77.21
2025-02-26,3,Pune,60.74
2025-02-26,3,Kolkata,49.36
2025-02-26,4,Mumbai,67.7
2025-02-26,4,Delhi,52.65
2025-02-26,4,Bengaluru,70.88
2025-02-26,4,Hyderabad,66.34
2025-02-26,4,Chennai,58.68
2025-02-26,4,Pune,44.07
2025-02-26,4,Kolkata,44.83
2025-02-26,5,Mumbai,42.75
2025-02-26,5,Delhi,42.69
2025-02-26,5,Bengaluru,48.5
2025-02-26,5,Hyderabad,63.83
2025-02-26,5,Chennai,74.68
2025-02-26,5,Pune,62.17
2025-02-26,5,Kolkata,69.26
2025-02-26,6,Mumbai,52.48
2025-02-26,6,Delhi,45.36
2025-02-26,6,Bengaluru,64.09
2025-02-26,6,Hyderabad,67.97
2025-02-26,6,Chennai,68.62
2025-02-26,6,Pune,57.69
2025-02-26,6,Kolkata,67.85
2025-02-26,7,Mumbai,51.57
2025-02-26,7,Delhi,71.86
2025-02-26,7,Bengaluru,51.73
2025-02-26,7,Hyderabad,51.28
2025-02-26,7,Chennai,47.13
2025-02-26,7,Pune,48.7
2025-02-26,7,Kolkata,53.43
2025-02-26,8,Mumbai,54.44
2025-02-26,8,Delhi,46.6
2025-02-26,8,Bengaluru,57.63
2025-02-26,8,Hyderabad,53.3
2025-02-26,8,Chennai,56.89
2025-02-26,8,Pune,59.37
2025-02-26,8,Kolkata,65.5
2025-03-12,1,Mumbai,62.8
2025-03-12,1,Delhi,54.24
2025-03-12,1,Bengaluru,60.98
2025-03-12,1,Hyderabad,69.69
2025-03-12,1,Chennai,53.24
2025-03-12,1,Pune,59.2
2025-03-12,1,Kolkata,47.85
2025-03-12,2,Mumbai,52.67
2025-03-12,2,Delhi,50.08
2025-03-12,2,Bengaluru,73.15
2025-03-12,2,Hyderabad,63.68
2025-03-12,2,Chennai,51.05
2025-03-12,2,Pune,66.06
2025-03-12,2,Kolkata,50.12
2025-03-12,3,Mumbai,58.6
2025-03-12,3,Delhi,74.02
2025-03-12,3,Bengaluru,58.72
2025-03-12,3,Hyderabad,54.35
2025-03-12,3,Chennai,49.14
2025-03-12,3,Pune,53.86
2025-03-12,3,Kolkata,62.86
2025-03-12,4,Mumbai,62.85
2025-03-12,4,Delhi,69.06
2025-03-12,4,Bengaluru,57.43
2025-03-12,4,Hyderabad,62.0
2025-03-12,4,Chennai,71.36
2025-03-12,4,Pune,51.54
2025-03-12,4,Kolkata,55.56
2025-03-12,5,Mumbai,49.1
2025-03-12,5,Delhi,56.07
2025-03-12,5,Bengaluru,36.47
2025-03-12,5,Hyderabad,48.15
2025-03-12,5,Chennai,42.63
2025-03-12,5,Pune,41.9
2025-03-12,5,Kolkata,63.62
2025-03-12,6,Mumbai,38.74
2025-03-12,6,Delhi,52.37
2025-03-12,6,Bengaluru,41.71
2025-03-12,6,Hyderabad,73.12
2025-03-12,6,Chennai,82.08
2025-03-12,6,Pune,62.8
2025-03-12,6,Kolkata,58.16
2025-03-12,7,Mumbai,62.52
2025-03-12,7,Delhi,60.67
2025-03-12,7,Bengaluru,59.47
2025-03-12,7,Hyderabad,34.28
2025-03-12,7,Chennai,79.09
2025-03-12,7,Pune,47.93
2025-03-12,7,Kolkata,49.24
2025-03-12,8,Mumbai,43.78
2025-03-12,8,Delhi,79.4
2025-03-12,8,Bengaluru,59.44
2025-03-12,8,Hyderabad,70.05
2025-03-12,8,Chennai,52.4
2025-03-12,8,Pune,64.55
2025-03-12,8,Kolkata,76.11
2025-03-26,1,Mumbai,69.22
2025-03-26,1,Delhi,61.48
2025-03-26,1,Bengaluru,76.03
2025-03-26,1,Hyderabad,46.39
2025-03-26,1,Chennai,61.34
2025-03-26,1,Pune,54.08
2025-03-26,1,Kolkata,45.81
2025-03-26,2,Mumbai,62.08
2025-03-26,2,Delhi,55.9
2025-03-26,2,Bengaluru,89.31
2025-03-26,2,Hyderabad,56.85
2025-03-26,2,Chennai,50.07
2025-03-26,2,Pune,65.5
2025-03-26,2,Kolkata,68.41
2025-03-26,3,Mumbai,57.84
2025-03-26,3,Delhi,62.41
2025-03-26,3,Bengaluru,58.89
2025-03-26,3,Hyderabad,58.02
2025-03-26,3,Chennai,51.82
2025-03-26,3,Pune,56.86
2025-03-26,3,Kolkata,68.92
2025-03-26,4,Mumbai,39.17
2025-03-26,4,Delhi,75.2
2025-03-26,4,Bengaluru,55.23
2025-03-26,4,Hyderabad,35.62
2025-03-26,4,Chennai,77.78
2025-03-26,4,Pune,58.63
2025-03-26,4,Kolkata,93.5
2025-03-26,5,Mumbai,53.87
2025-03-26,5,Delhi,36.49
2025-03-26,5,Bengaluru,75.99
2025-03-26,5,Hyderabad,63.95
2025-03-26,5,Chennai,55.48
2025-03-26,5,Pune,55.52
2025-03-26,5,Kolkata,39.99
2025-03-26,6,Mumbai,52.4
2025-03-26,6,Delhi,63.05
2025-03-26,6,Bengaluru,52.17
2025-03-26,6,Hyderabad,69.81
2025-03-26,6,Chennai,68.15
2025-03-26,6,Pune,55.0
2025-03-26,6,Kolkata,63.94
2025-03-26,7,Mumbai,86.94
2025-03-26,7,Delhi,60.61
2025-03-26,7,Bengaluru,45.78
2025-03-26,7,Hyderabad,49.28
2025-03-26,7,Chennai,51.98
2025-03-26,7,Pune,63.45
2025-03-26,7,Kolkata,61.44
2025-03-26,8,Mumbai,55.27
2025-03-26,8,Delhi,65.74
2025-03-26,8,Bengaluru,69.23
2025-03-26,8,Hyderabad,67.94
2025-03-26,8,Chennai,65.95
2025-03-26,8,Pune,52.27
2025-03-26,8,Kolkata,70.84
2025-04-09,1,Mumbai,54.29
2025-04-09,1,Delhi,53.56
2025-04-09,1,Bengaluru,61.46
2025-04-09,1,Hyderabad,47.6
2025-04-09,1,Chennai,52.87
2025-04-09,1,Pune,52.27
2025-04-09,1,Kolkata,71.86
2025-04-09,2,Mumbai,68.5
2025-04-09,2,Delhi,59.77
2025-04-09,2,Bengaluru,77.73
2025-04-09,2,Hyderabad,49.13
2025-04-09,2,Chennai,36.2
2025-04-09,2,Pune,67.83
2025-04-09,2,Kolkata,51.72
2025-04-09,3,Mumbai,47.97
2025-04-09,3,Delhi,70.36
2025-04-09,3,Bengaluru,63.61
2025-04-09,3,Hyderabad,56.66
2025-04-09,3,Chennai,51.11
2025-04-09,3,Pune,61.29
2025-04-09,3,Kolkata,52.78
2025-04-09,4,Mumbai,55.74
2025-04-09,4,Delhi,79.32
2025-04-09,4,Bengaluru,48.58
2025-04-09,4,Hyderabad,66.04
2025-04-09,4,Chennai,54.42
2025-04-09,4,Pune,58.95
2025-04-09,4,Kolkata,52.86
2025-04-09,5,Mumbai,47.94
2025-04-09,5,Delhi,58.96
2025-04-09,5,Bengaluru,65.94
2025-04-09,5,Hyderabad,54.02
2025-04-09,5,Chennai,48.41
2025-04-09,5,Pune,53.26
2025-04-09,5,Kolkata,46.42
2025-04-09,6,Mumbai,52.34
2025-04-09,6,Delhi,52.03
2025-04-09,6,Bengaluru,58.32
2025-04-09,6,Hyderabad,58.98
2025-04-09,6,Chennai,60.64
2025-04-09,6,Pune,58.17
2025-04-09,6,Kolkata,56.09
2025-04-09,7,Mumbai,51.48
2025-04-09,7,Delhi,81.03
2025-04-09,7,Bengaluru,68.16
2025-04-09,7,Hyderabad,80.01
2025-04-09,7,Chennai,56.01
2025-04-09,7,Pune,48.27
2025-04-09,7,Kolkata,58.62
2025-04-09,8,Mumbai,43.15
2025-04-09,8,Delhi,51.04
2025-04-09,8,Bengaluru,64.51
2025-04-09,8,Hyderabad,44.15
2025-04-09,8,Chennai,46.32
2025-04-09,8,Pune,46.84
2025-04-09,8,Kolkata,50.54
2025-04-23,1,Mumbai,48.22
2025-04-23,1,Delhi,53.24
2025-04-23,1,Bengaluru,57.54
2025-04-23,1,Hyderabad,50.24
2025-04-23,1,Chennai,76.75
2025-04-23,1,Pune,54.21
2025-04-23,1,Kolkata,42.04
2025-04-23,2,Mumbai,43.81
2025-04-23,2,Delhi,67.5
2025-04-23,2,Bengaluru,49.2
2025-04-23,2,Hyderabad,46.11
2025-04-23,2,Chennai,60.4
2025-04-23,2,Pune,51.07
2025-04-23,2,Kolkata,42.13
2025-04-23,3,Mumbai,76.37
2025-04-23,3,Delhi,67.37
2025-04-23,3,Bengaluru,52.29
2025-04-23,3,Hyderabad,52.93
2025-04-23,3,Chennai,42.54
2025-04-23,3,Pune,63.49
2025-04-23,3,Kolkata,35.91
2025-04-23,4,Mumbai,66.18
2025-04-23,4,Delhi,55.95
2025-04-23,4,Bengaluru,67.98
2025-04-23,4,Hyderabad,46.32
2025-04-23,4,Chennai,52.08
2025-04-23,4,Pune,43.56
2025-04-23,4,Kolkata,67.72
2025-04-23,5,Mumbai,44.91
2025-04-23,5,Delhi,51.16
2025-04-23,5,Bengaluru,53.63
2025-04-23,5,Hyderabad,58.26
2025-04-23,5,Chennai,64.47
2025-04-23,5,Pune,53.96
2025-04-23,5,Kolkata,58.45
2025-04-23,6,Mumbai,46.51
2025-04-23,6,Delhi,48.73
2025-04-23,6,Bengaluru,72.17
2025-04-23,6,Hyderabad,65.61
2025-04-23,6,Chennai,72.5
2025-04-23,6,Pune,56.84
2025-04-23,6,Kolkata,40.68
2025-04-23,7,Mumbai,61.23
2025-04-23,7,Delhi,49.11
2025-04-23,7,Bengaluru,61.19
2025-04-23,7,Hyderabad,45.67
2025-04-23,7,Chennai,66.29
2025-04-23,7,Pune,52.16
2025-04-23,7,Kolkata,44.38
2025-04-23,8,Mumbai,53.95
2025-04-23,8,Delhi,67.32
2025-04-23,8,Bengaluru,69.11
2025-04-23,8,Hyderabad,58.63
2025-04-23,8,Chennai,37.97
2025-04-23,8,Pune,58.72
2025-04-23,8,Kolkata,41.84
2025-05-07,1,Mumbai,68.89
2025-05-07,1,Delhi,48.87
2025-05-07,1,Bengaluru,69.62
2025-05-07,1,Hyderabad,37.62
2025-05-07,1,Chennai,53.59
2025-05-07,1,Pune,23.41
2025-05-07,1,Kolkata,69.4
2025-05-07,2,Mumbai,46.97
2025-05-07,2,Delhi,63.73
2025-05-07,2,Bengaluru,56.72
2025-05-07,2,Hyderabad,42.0
2025-05-07,2,Chennai,62.28
2025-05-07,2,Pune,62.4
2025-05-07,2,Kolkata,53.56
2025-05-07,3,Mumbai,45.31
2025-05-07,3,Delhi,33.8
2025-05-07,3,Bengaluru,62.42
2025-05-07,3,Hyderabad,74.4
2025-05-07,3,Chennai,62.85
2025-05-07,3,Pune,62.61
2025-05-07,3,Kolkata,62.95
2025-05-07,4,Mumbai,66.68
2025-05-07,4,Delhi,40.93
2025-05-07,4,Bengaluru,47.01
2025-05-07,4,Hyderabad,68.13
2025-05-07,4,Chennai,65.99
2025-05-07,4,Pune,60.36
2025-05-07,4,Kolkata,50.6
2025-05-07,5,Mumbai,49.23
2025-05-07,5,Delhi,52.69
2025-05-07,5,Bengaluru,55.25
2025-05-07,5,Hyderabad,68.09
2025-05-07,5,Chennai,41.28
2025-05-07,5,Pune,59.32
2025-05-07,5,Kolkata,43.31
2025-05-07,6,Mumbai,51.33
2025-05-07,6,Delhi,46.84
2025-05-07,6,Bengaluru,54.11
2025-05-07,6,Hyderabad,60.83
2025-05-07,6,Chennai,56.57
2025-05-07,6,Pune,75.26
2025-05-07,6,Kolkata,70.53
2025-05-07,7,Mumbai,54.9
2025-05-07,7,Delhi,60.04
2025-05-07,7,Bengaluru,62.29
2025-05-07,7,Hyderabad,44.71
2025-05-07,7,Chennai,39.27
2025-05-07,7,Pune,40.74
2025-05-07,7,Kolkata,68.03
2025-05-07,8,Mumbai,64.85
2025-05-07,8,Delhi,35.92
2025-05-07,8,Bengaluru,71.62
2025-05-07,8,Hyderabad,55.66
2025-05-07,8,Chennai,56.05
2025-05-07,8,Pune,63.51
2025-05-07,8,Kolkata,69.72
2025-05-21,1,Mumbai,60.31
2025-05-21,1,Delhi,67.68
2025-05-21,1,Bengaluru,58.59
2025-05-21,1,Hyderabad,86.96
2025-05-21,1,Chennai,50.1
2025-05-21,1,Pune,47.94
2025-05-21,1,Kolkata,65.87
2025-05-21,2,Mumbai,52.34
2025-05-21,2,Delhi,55.53
2025-05-21,2,Bengaluru,60.64
2025-05-21,2,Hyderabad,56.7
2025-05-21,2,Chennai,59.13
2025-05-21,2,Pune,52.7
2025-05-21,2,Kolkata,65.81
2025-05-21,3,Mumbai,46.19
2025-05-21,3,Delhi,61.0
2025-05-21,3,Bengaluru,49.43
2025-05-21,3,Hyderabad,68.0
2025-05-21,3,Chennai,30.59
2025-05-21,3,Pune,37.21
2025-05-21,3,Kolkata,68.79
2025-05-21,4,Mumbai,65.34
2025-05-21,4,Delhi,62.05
2025-05-21,4,Bengaluru,57.66
2025-05-21,4,Hyderabad,75.9
2025-05-21,4,Chennai,53.42
2025-05-21,4,Pune,67.59
2025-05-21,4,Kolkata,63.96
2025-05-21,5,Mumbai,61.36
2025-05-21,5,Delhi,64.52
2025-05-21,5,Bengaluru,77.74
2025-05-21,5,Hyderabad,54.86
2025-05-21,5,Chennai,70.39
2025-05-21,5,Pune,62.12
2025-05-21,5,Kolkata,49.63
2025-05-21,6,Mumbai,58.58
2025-05-21,6,Delhi,63.27
2025-05-21,6,Bengaluru,65.65
2025-05-21,6,Hyderabad,48.07
2025-05-21,6,Chennai,45.91
2025-05-21,6,Pune,69.58
2025-05-21,6,Kolkata,69.46
2025-05-21,7,Mumbai,55.91
2025-05-21,7,Delhi,51.98
2025-05-21,7,Bengaluru,92.87
2025-05-21,7,Hyderabad,74.62
2025-05-21,7,Chennai,65.41
2025-05-21,7,Pune,45.6
2025-05-21,7,Kolkata,51.07
2025-05-21,8,Mumbai,54.73
2025-05-21,8,Delhi,43.65
2025-05-21,8,Bengaluru,56.87
2025-05-21,8,Hyderabad,61.7
2025-05-21,8,Chennai,52.58
2025-05-21,8,Pune,67.01
2025-05-21,8,Kolkata,61.47
2025-06-04,1,Mumbai,67.49
2025-06-04,1,Delhi,61.91
2025-06-04,1,Bengaluru,60.95
2025-06-04,1,Hyderabad,50.88
2025-06-04,1,Chennai,56.17
2025-06-04,1,Pune,45.41
2025-06-04,1,Kolkata,66.87
2025-06-04,2,Mumbai,47.48
2025-06-04,2,Delhi,67.38
2025-06-04,2,Bengaluru,61.04
2025-06-04,2,Hyderabad,64.49
2025-06-04,2,Chennai,85.39
2025-06-04,2,Pune,57.4
2025-06-04,2,Kolkata,45.67
2025-06-04,3,Mumbai,38.86
2025-06-04,3,Delhi,57.43
2025-06-04,3,Bengaluru,54.18
2025-06-04,3,Hyderabad,61.74
2025-06-04,3,Chennai,69.67
2025-06-04,3,Pune,59.1
2025-06-04,3,Kolkata,76.19
2025-06-04,4,Mumbai,76.82
2025-06-04,4,Delhi,43.82
2025-06-04,4,Bengaluru,42.14
2025-06-04,4,Hyderabad,57.04
2025-06-04,4,Chennai,67.0
2025-06-04,4,Pune,66.93
2025-06-04,4,Kolkata,72.19
2025-06-04,5,Mumbai,65.71
2025-06-04,5,Delhi,53.29
2025-06-04,5,Bengaluru,69.77
2025-06-04,5,Hyderabad,69.5
2025-06-04,5,Chennai,57.37
2025-06-04,5,Pune,64.13
2025-06-04,5,Kolkata,53.87
2025-06-04,6,Mumbai,42.78
2025-06-04,6,Delhi,56.01
2025-06-04,6,Bengaluru,55.46
2025-06-04,6,Hyderabad,54.69
2025-06-04,6,Chennai,39.08
2025-06-04,6,Pune,80.03
2025-06-04,6,Kolkata,65.98
2025-06-04,7,Mumbai,51.42
2025-06-04,7,Delhi,47.17
2025-06-04,7,Bengaluru,37.81
2025-06-04,7,Hyderabad,41.21
2025-06-04,7,Chennai,70.7
2025-06-04,7,Pune,62.44
2025-06-04,7,Kolkata,51.26
2025-06-04,8,Mumbai,55.16
2025-06-04,8,Delhi,65.62
2025-06-04,8,Bengaluru,54.51
2025-06-04,8,Hyderabad,64.07
2025-06-04,8,Chennai,52.62
2025-06-04,8,Pune,72.34
2025-06-04,8,Kolkata,71.86
2025-06-18,1,Mumbai,69.36
2025-06-18,1,Delhi,44.0
2025-06-18,1,Bengaluru,74.09
2025-06-18,1,Hyderabad,41.63
2025-06-18,1,Chennai,66.59
2025-06-18,1,Pune,63.67
2025-06-18,1,Kolkata,43.93
2025-06-18,2,Mumbai,55.52
2025-06-18,2,Delhi,60.7
2025-06-18,2,Bengaluru,88.53
2025-06-18,2,Hyderabad,65.23
2025-06-18,2,Chennai,68.64
2025-06-18,2,Pune,48.79
2025-06-18,2,Kolkata,48.25
2025-06-18,3,Mumbai,88.1
2025-06-18,3,Delhi,75.31
2025-06-18,3,Bengaluru,45.9
2025-06-18,3,Hyderabad,48.89
2025-06-18,3,Chennai,56.67
2025-06-18,3,Pune,62.19
2025-06-18,3,Kolkata,59.3
2025-06-18,4,Mumbai,64.39
2025-06-18,4,Delhi,50.36
2025-06-18,4,Bengaluru,54.49
2025-06-18,4,Hyderabad,57.86
2025-06-18,4,Chennai,62.54
2025-06-18,4,Pune,52.59
2025-06-18,4,Kolkata,57.88
2025-06-18,5,Mumbai,55.21
2025-06-18,5,Delhi,64.61
2025-06-18,5,Bengaluru,51.53
2025-06-18,5,Hyderabad,47.65
2025-06-18,5,Chennai,51.69
2025-06-18,5,Pune,50.61
2025-06-18,5,Kolkata,44.51
2025-06-18,6,Mumbai,62.31
2025-06-18,6,Delhi,57.04
2025-06-18,6,Bengaluru,74.43
2025-06-18,6,Hyderabad,56.09
2025-06-18,6,Chennai,58.85
2025-06-18,6,Pune,56.58
2025-06-18,6,Kolkata,59.1
2025-06-18,7,Mumbai,37.02
2025-06-18,7,Delhi,56.59
2025-06-18,7,Bengaluru,48.76
2025-06-18,7,Hyderabad,63.89
2025-06-18,7,Chennai,43.95
2025-06-18,7,Pune,47.71
2025-06-18,7,Kolkata,31.68
2025-06-18,8,Mumbai,59.3
2025-06-18,8,Delhi,64.84
2025-06-18,8,Bengaluru,42.46
2025-06-18,8,Hyderabad,58.97
2025-06-18,8,Chennai,60.37
2025-06-18,8,Pune,51.88
2025-06-18,8,Kolkata,58.73
2025-07-02,1,Mumbai,49.68
2025-07-02,1,Delhi,53.58
2025-07-02,1,Bengaluru,83.23
2025-07-02,1,Hyderabad,52.39
2025-07-02,1,Chennai,67.12
2025-07-02,1,Pune,68.55
2025-07-02,1,Kolkata,40.03
2025-07-02,2,Mumbai,60.92
2025-07-02,2,Delhi,68.52
2025-07-02,2,Bengaluru,86.29
2025-07-02,2,Hyderabad,71.04
2025-07-02,2,Chennai,66.2
2025-07-02,2,Pune,50.23
2025-07-02,2,Kolkata,50.37
2025-07-02,3,Mumbai,51.98
2025-07-02,3,Delhi,57.19
2025-07-02,3,Bengaluru,62.67
2025-07-02,3,Hyderabad,59.25
