activity_date,movie_id,views,watch_minutes,completion_rate
2025-01-13,7,229,19923,0.58
2025-01-13,8,300,26100,0.72
2025-01-14,1,860,63640,0.69
2025-01-14,2,797,48617,0.78
2025-01-14,3,538,46268,0.65
2025-01-14,4,241,15665,0.41
2025-01-14,5,532,45752,0.78
2025-01-14,6,422,16880,0.85
2025-01-14,7,153,6579,0.53
2025-01-14,8,197,17139,0.79
2025-01-15,1,969,82365,0.64
2025-01-15,2,616,46816,0.65
2025-01-15,3,742,47488,0.79
2025-01-15,4,221,16354,0.43
2025-01-15,5,486,33534,0.66
2025-01-15,6,441,28665,0.61
2025-01-15,7,210,9240,0.49
2025-01-15,8,404,31916,0.65
2025-01-16,1,864,74304,0.6
2025-01-16,2,710,58930,0.81
2025-01-16,3,702,29484,0.72
2025-01-16,4,296,23976,0.55
2025-01-16,5,411,24249,0.69
2025-01-16,6,511,33215,0.47
2025-01-16,7,190,9880,0.42
2025-01-16,8,329,14476,0.78
2025-01-17,1,1007,57399,0.74
2025-01-17,2,784,67424,0.79
2025-01-17,3,735,59535,0.61
2025-01-17,4,317,12046,0.59
2025-01-17,5,385,23100,0.66
2025-01-17,6,401,18847,0.58
2025-01-17,7,310,20460,0.46
2025-01-17,8,440,19360,0.66
2025-01-18,1,974,81816,0.72
2025-01-18,2,556,32248,0.83
2025-01-18,3,674,53246,0.63
2025-01-18,4,342,25992,0.56
2025-01-18,5,408,33456,0.63
2025-01-18,6,563,32091,0.72
2025-01-18,7,248,12400,0.62
2025-01-18,8,419,17179,0.62
2025-01-19,1,978,51834,0.55
2025-01-19,2,663,45747,0.69
2025-01-19,3,641,24358,0.67
2025-01-19,4,434,19964,0.49
2025-01-19,5,311,19904,0.79
2025-01-19,6,344,29584,0.78
2025-01-19,7,30,1260,0.55
2025-01-19,8,447,24138,0.69
2025-01-20,1,986,86768,0.87
2025-01-20,2,650,53950,0.73
2025-01-20,3,582,47724,0.69
2025-01-20,4,172,12384,0.58
2025-01-20,5,374,21318,0.65
2025-01-20,6,568,26696,0.78
2025-01-20,7,147,11466,0.49
2025-01-20,8,429,33891,0.57
2025-01-21,1,1056,88704,0.74
2025-01-21,2,753,39909,0.67
2025-01-21,3,728,48776,0.73
2025-01-21,4,240,19200,0.49
2025-01-21,5,413,18585,0.56
2025-01-21,6,460,17480,0.69
2025-01-21,7,315,22365,0.68
2025-01-21,8,281,15174,0.67
2025-01-22,1,969,84303,0.73
2025-01-22,2,612,53244,0.75
2025-01-22,3,656,54448,0.72
2025-01-22,4,243,16281,0.48
2025-01-22,5,441,38367,0.73
2025-01-22,6,479,21555,0.7
2025-01-22,7,227,9080,0.5
2025-01-22,8,433,21217,0.83
2025-01-23,1,988,78052,0.57
2025-01-23,2,642,41088,0.72
2025-01-23,3,716,30072,0.65
2025-01-23,4,225,18225,0.49
2025-01-23,5,458,32518,0.66
2025-01-23,6,604,25368,0.67
2025-01-23,7,327,28449,0.4
2025-01-23,8,457,33361,0.63
2025-01-24,1,880,49280,0.71
2025-01-24,2,641,49357,0.66
2025-01-24,3,663,45747,0.77
2025-01-24,4,389,32676,0.51
2025-01-24,5,522,27666,0.61
2025-01-24,6,521,20319,0.84
2025-01-24,7,227,18614,0.58
2025-01-24,8,552,20976,0.55
2025-01-25,1,954,81090,0.61
2025-01-25,2,694,49274,0.65
2025-01-25,3,737,30217,0.68
2025-01-25,4,300,16500,0.5
2025-01-25,5,561,39831,0.79
2025-01-25,6,283,18961,0.78
2025-01-25,7,251,11044,0.5
2025-01-25,8,313,19719,0.69
2025-01-26,1,1036,67340,0.74
2025-01-26,2,679,38024,0.65
2025-01-26,3,655,41265,0.76
2025-01-26,4,222,12876,0.39
2025-01-26,5,367,18350,0.71
2025-01-26,6,504,22176,0.79
2025-01-26,7,245,16415,0.55
2025-01-26,8,405,24300,0.73
2025-01-27,1,999,56943,0.68
2025-01-27,2,557,23951,0.73
2025-01-27,3,722,59926,0.79
2025-01-27,4,252,14616,0.49
2025-01-27,5,490,29400,0.79
2025-01-27,6,401,22857,0.71
2025-01-27,7,205,7995,0.75
2025-01-27,8,560,40880,0.64
2025-01-28,1,949,63583,0.63
2025-01-28,2,806,36270,0.77
2025-01-28,3,800,41600,0.7
2025-01-28,4,355,21655,0.62
2025-01-28,5,351,15093,0.52
2025-01-28,6,369,15498,0.66
2025-01-28,7,247,19513,0.51
2025-01-28,8,383,22597,0.7
2025-01-29,1,1078,44198,0.82
2025-01-29,2,687,32289,0.78
2025-01-29,3,565,40115,0.75
2025-01-29,4,335,20770,0.46
2025-01-29,5,451,21648,0.38
2025-01-29,6,493,24157,0.68
2025-01-29,7,334,23046,0.66
2025-01-29,8,431,35773,0.73
2025-01-30,1,930,77190,0.71
2025-01-30,2,770,33880,0.66
2025-01-30,3,625,30000,0.75
2025-01-30,4,251,19578,0.42
2025-01-30,5,525,25725,0.66
2025-01-30,6,394,30338,0.59
2025-01-30,7,232,17400,0.45
2025-01-30,8,448,37632,0.62
2025-01-31,1,935,78540,0.65
2025-01-31,2,770,66990,0.66
2025-01-31,3,524,40348,0.58
2025-01-31,4,98,4606,0.43
2025-01-31,5,481,27898,0.72
2025-01-31,6,444,36852,0.67
2025-01-31,7,271,22222,0.51
2025-01-31,8,418,15884,0.73
2025-02-01,1,877,42096,0.72
2025-02-01,2,765,47430,0.63
2025-02-01,3,616,41888,0.75
2025-02-01,4,283,24338,0.41
2025-02-01,5,402,16884,0.65
2025-02-01,6,425,16575,0.67
2025-02-01,7,142,5964,0.69
2025-02-01,8,334,16032,0.83
2025-02-02,1,939,40377,0.59
2025-02-02,2,585,39780,0.89
2025-02-02,3,637,50323,0.61
2025-02-02,4,340,16320,0.65
2025-02-02,5,483,24150,0.71
2025-02-02,6,339,28476,0.74
2025-02-02,7,113,6441,0.48
2025-02-02,8,421,31154,0.72
2025-02-03,1,867,35547,0.66
2025-02-03,2,649,36344,0.75
2025-02-03,3,707,48076,0.59
2025-02-03,4,265,12720,0.53
2025-02-03,5,286,19448,0.52
2025-02-03,6,455,28665,0.63
2025-02-03,7,63,3402,0.54
2025-02-03,8,499,24451,0.74
2025-02-04,1,899,44051,0.75
2025-02-04,2,644,43148,0.71
2025-02-04,3,647,47878,0.84
2025-02-04,4,376,30080,0.56
2025-02-04,5,511,36792,0.76
2025-02-04,6,311,16172,0.76
2025-02-04,7,84,5964,0.46
2025-02-04,8,338,22984,0.74
2025-02-05,1,900,51300,0.66
2025-02-05,2,777,31080,0.52
2025-02-05,3,467,21949,0.59
2025-02-05,4,346,16608,0.65
2025-02-05,5,449,36369,0.7
2025-02-05,6,521,24487,0.72
2025-02-05,7,243,15066,0.49
2025-02-05,8,387,27477,0.53
2025-02-06,1,919,80872,0.59
2025-02-06,2,632,29704,0.73
2025-02-06,3,569,25036,0.65
2025-02-06,4,345,15180,0.46
2025-02-06,5,453,27180,0.53
2025-02-06,6,462,36498,0.65
2025-02-06,7,117,4680,0.52
2025-02-06,8,455,35035,0.76
2025-02-07,1,860,34400,0.61
2025-02-07,2,577,47314,0.79
2025-02-07,3,669,36795,0.82
2025-02-07,4,272,23936,0.5
2025-02-07,5,400,27600,0.75
2025-02-07,6,491,25532,0.6
2025-02-07,7,354,23364,0.67
2025-02-07,8,429,36036,0.62
2025-02-08,1,856,42800,0.75
2025-02-08,2,545,34880,0.75
2025-02-08,3,652,39772,0.56
2025-02-08,4,298,14304,0.42
2025-02-08,5,528,33264,0.74
2025-02-08,6,516,38184,0.81
2025-02-08,7,268,13400,0.52
2025-02-08,8,449,30083,0.64
2025-02-09,1,1017,50850,0.71
2025-02-09,2,679,47530,0.84
2025-02-09,3,524,42444,0.8
2025-02-09,4,331,25156,0.52
2025-02-09,5,240,16320,0.76
2025-02-09,6,360,17280,0.65
2025-02-09,7,250,20500,0.46
2025-02-09,8,434,17794,0.7
2025-02-10,1,1000,51000,0.78
2025-02-10,2,767,62127,0.6
2025-02-10,3,689,48230,0.8
2025-02-10,4,389,33843,0.53
2025-02-10,5,384,17664,0.61
2025-02-10,6,358,13604,0.6
2025-02-10,7,236,13452,0.62
2025-02-10,8,392,21560,0.57
2025-02-11,1,885,53100,0.73
2025-02-11,2,649,36993,0.7
2025-02-11,3,598,37674,0.56
2025-02-11,4,252,20160,0.51
2025-02-11,5,560,40880,0.66
2025-02-11,6,358,20406,0.6
2025-02-11,7,185,10915,0.43
2025-02-11,8,527,28985,0.68
2025-02-12,1,941,74339,0.82
2025-02-12,2,710,48990,0.7
2025-02-12,3,633,49374,0.57
2025-02-12,4,138,11592,0.53
2025-02-12,5,282,17202,0.77
2025-02-12,6,269,16678,0.69
2025-02-12,7,171,14877,0.63
2025-02-12,8,491,42717,0.81
2025-02-13,1,1100,94600,0.64
2025-02-13,2,724,58644,0.64
2025-02-13,3,781,40612,0.69
2025-02-13,4,236,10856,0.44
2025-02-13,5,490,27930,0.75
2025-02-13,6,489,27873,0.82
2025-02-13,7,298,21158,0.48
2025-02-13,8,364,29484,0.65
2025-02-14,1,1018,70242,0.69
2025-02-14,2,669,42147,0.73
2025-02-14,3,713,32798,0.7
2025-02-14,4,263,18410,0.53
2025-02-14,5,454,35866,0.76
2025-02-14,6,439,34242,0.62
2025-02-14,7,216,8856,0.61
2025-02-14,8,400,17600,0.68
2025-02-15,1,941,77162,0.68
2025-02-15,2,760,34200,0.75
2025-02-15,3,578,27166,0.66
2025-02-15,4,291,11058,0.63
2025-02-15,5,385,30800,0.8
2025-02-15,6,316,25912,0.68
2025-02-15,7,312,13728,0.62
2025-02-15,8,316,17696,0.68
2025-02-16,1,976,48800,0.71
2025-02-16,2,599,42529,0.6
2025-02-16,3,729,46656,0.68
2025-02-16,4,254,17526,0.53
2025-02-16,5,516,35088,0.62
2025-02-16,6,417,33360,0.7
2025-02-16,7,250,18500,0.53
2025-02-16,8,399,17157,0.65
2025-02-17,1,955,80220,0.66
2025-02-17,2,746,38792,0.73
2025-02-17,3,461,24894,0.75
2025-02-17,4,226,11074,0.52
2025-02-17,5,523,31903,0.58
2025-02-17,6,440,37400,0.62
2025-02-17,7,329,13160,0.61
2025-02-17,8,460,36340,0.69
2025-02-18,1,983,64878,0.76
2025-02-18,2,756,63504,0.67
2025-02-18,3,774,37926,0.77
2025-02-18,4,317,21239,0.56
2025-02-18,5,409,27812,0.77
2025-02-18,6,453,21744,0.58
2025-02-18,7,307,12587,0.59
2025-02-18,8,563,24772,0.67
2025-02-19,1,863,63862,0.74
2025-02-19,2,657,57159,0.68
2025-02-19,3,748,34408,0.6
2025-02-19,4,269,17754,0.57
2025-02-19,5,570,40470,0.7
2025-02-19,6,322,16744,0.81
2025-02-19,7,106,8162,0.5
2025-02-19,8,482,32776,0.62
2025-02-20,1,1033,79541,0.81
2025-02-20,2,801,38448,0.73
2025-02-20,3,575,39675,0.69
2025-02-20,4,280,19320,0.49
2025-02-20,5,391,21505,0.75
2025-02-20,6,470,37130,0.71
2025-02-20,7,120,5160,0.61
2025-02-20,8,289,19074,0.73
2025-02-21,1,1024,59392,0.74
2025-02-21,2,764,60356,0.75
2025-02-21,3,735,29400,0.7
2025-02-21,4,258,11094,0.51
2025-02-21,5,470,36660,0.49
2025-02-21,6,389,19839,0.78
2025-02-21,7,173,10207,0.44
2025-02-21,8,403,20956,0.71
2025-02-22,1,987,85869,0.63
2025-02-22,2,638,51040,0.63
2025-02-22,3,606,26664,0.76
2025-02-22,4,263,15517,0.45
2025-02-22,5,354,19824,0.78
2025-02-22,6,350,15400,0.67
2025-02-22,7,263,12098,0.52
2025-02-22,8,473,30272,0.57
2025-02-23,1,1030,51500,0.76
2025-02-23,2,806,41106,0.8
2025-02-23,3,533,44239,0.73
2025-02-23,4,193,7720,0.62
2025-02-23,5,548,41100,0.62
2025-02-23,6,533,35711,0.81
2025-02-23,7,117,5382,0.34
2025-02-23,8,426,36210,0.69
2025-02-24,1,1117,83775,0.75
2025-02-24,2,611,29939,0.7
2025-02-24,3,643,29578,0.64
2025-02-24,4,347,26372,0.58
2025-02-24,5,485,30070,0.63
2025-02-24,6,330,27060,0.74
2025-02-24,7,224,13216,0.45
2025-02-24,8,500,23000,0.67
2025-02-25,1,1015,86275,0.77
2025-02-25,2,556,40588,0.68
2025-02-25,3,735,53655,0.59
2025-02-25,4,226,17402,0.47
2025-02-25,5,394,31914,0.57
2025-02-25,6,499,24451,0.78
2025-02-25,7,104,6032,0.51
2025-02-25,8,388,28324,0.56
2025-02-26,1,853,68240,0.7
2025-02-26,2,724,39820,0.7
2025-02-26,3,608,46816,0.76
2025-02-26,4,172,10664,0.35
2025-02-26,5,516,40248,0.58
2025-02-26,6,449,22001,0.69
2025-02-26,7,209,9823,0.47
2025-02-26,8,433,22516,0.62
2025-02-27,1,915,46665,0.76
2025-02-27,2,799,54332,0.66
2025-02-27,3,799,63121,0.69
2025-02-27,4,371,24486,0.52
2025-02-27,5,426,32802,0.8
2025-02-27,6,420,24360,0.71
2025-02-27,7,121,5445,0.61
2025-02-27,8,349,19544,0.76
2025-02-28,1,1039,90393,0.7
2025-02-28,2,604,39864,0.79
2025-02-28,3,597,47163,0.7
2025-02-28,4,291,12804,0.6
2025-02-28,5,513,36936,0.86
2025-02-28,6,316,16116,0.67
2025-02-28,7,157,12717,0.39
2025-02-28,8,388,27936,0.71
2025-03-01,1,1023,86955,0.55
2025-03-01,2,717,30114,0.58
2025-03-01,3,659,44153,0.64
2025-03-01,4,255,10710,0.49
2025-03-01,5,545,39785,0.74
2025-03-01,6,545,29430,0.75
2025-03-01,7,151,9513,0.56
2025-03-01,8,407,32967,0.7
2025-03-02,1,956,80304,0.7
2025-03-02,2,699,29358,0.67
2025-03-02,3,763,43491,0.78
2025-03-02,4,267,16821,0.42
2025-03-02,5,449,38165,0.74
2025-03-02,6,447,34866,0.59
2025-03-02,7,146,12848,0.35
2025-03-02,8,329,14805,0.66
2025-03-03,1,882,64386,0.65
2025-03-03,2,760,64600,0.67
2025-03-03,3,653,33303,0.56
2025-03-03,4,167,11690,0.57
2025-03-03,5,449,34573,0.73
2025-03-03,6,445,21805,0.64
2025-03-03,7,173,7093,0.42
2025-03-03,8,523,38179,0.54
2025-03-04,1,858,48048,0.71
2025-03-04,2,673,33650,0.64
2025-03-04,3,646,38114,0.6
2025-03-04,4,190,10070,0.6
2025-03-04,5,504,25200,0.76
2025-03-04,6,386,29722,0.77
2025-03-04,7,157,7379,0.41
2025-03-04,8,354,20532,0.66
2025-03-05,1,994,57652,0.68
2025-03-05,2,753,59487,0.55
2025-03-05,3,631,42908,0.63
2025-03-05,4,276,19044,0.46
2025-03-05,5,472,21712,0.72
2025-03-05,6,388,30264,0.72
2025-03-05,7,282,21150,0.42
2025-03-05,8,358,14320,0.6
2025-03-06,1,822,50142,0.71
2025-03-06,2,576,43200,0.8
2025-03-06,3,653,43751,0.62
2025-03-06,4,227,13847,0.51
2025-03-06,5,309,23793,0.69
2025-03-06,6,369,16974,0.57
2025-03-06,7,175,12950,0.53
2025-03-06,8,314,26690,0.51
2025-03-07,1,929,37160,0.5
2025-03-07,2,716,30072,0.78
2025-03-07,3,655,52400,0.75
2025-03-07,4,303,18483,0.68
2025-03-07,5,292,11680,0.81
2025-03-07,6,525,23100,0.72
2025-03-07,7,193,10615,0.42
2025-03-07,8,449,32328,0.64
2025-03-08,1,884,54808,0.66
2025-03-08,2,627,26334,0.78
2025-03-08,3,587,30524,0.68
2025-03-08,4,190,11400,0.5
2025-03-08,5,334,25384,0.7
2025-03-08,6,574,37884,0.7
2025-03-08,7,235,18565,0.54
2025-03-08,8,411,19728,0.73
2025-03-09,1,872,39240,0.79
2025-03-09,2,658,38822,0.62
2025-03-09,3,644,43792,0.6
2025-03-09,4,160,12640,0.52
2025-03-09,5,427,17080,0.68
2025-03-09,6,489,22494,0.77
2025-03-09,7,205,15170,0.49
2025-03-09,8,447,21903,0.73
2025-03-10,1,873,64602,0.68
2025-03-10,2,600,50400,0.57
2025-03-10,3,627,26961,0.63
2025-03-10,4,281,19108,0.62
2025-03-10,5,450,28800,0.65
2025-03-10,6,312,27144,0.61
2025-03-10,7,265,14310,0.62
2025-03-10,8,476,31892,0.8
2025-03-11,1,926,57412,0.67
2025-03-11,2,672,33600,0.72
2025-03-11,3,497,40257,0.67
2025-03-11,4,222,9768,0.53
2025-03-11,5,491,37316,0.84
2025-03-11,6,547,38290,0.72
2025-03-11,7,220,17600,0.47
2025-03-11,8,489,18582,0.77
2025-03-12,1,1053,83187,0.61
2025-03-12,2,755,61910,0.53
2025-03-12,3,704,61952,0.81
2025-03-12,4,226,16272,0.46
2025-03-12,5,339,19323,0.66
2025-03-12,6,447,28161,0.74
2025-03-12,7,324,21060,0.65
2025-03-12,8,395,34365,0.59
2025-03-13,1,834,64218,0.68
2025-03-13,2,709,37577,0.71
2025-03-13,3,545,23435,0.51
2025-03-13,4,390,23400,0.51
2025-03-13,5,383,19150,0.62
2025-03-13,6,298,12516,0.68
2025-03-13,7,302,25368,0.46
2025-03-13,8,500,30000,0.53
2025-03-14,1,870,45240,0.81
2025-03-14,2,661,41643,0.66
2025-03-14,3,607,38848,0.66
2025-03-14,4,164,11480,0.51
2025-03-14,5,370,25900,0.88
2025-03-14,6,567,49896,0.65
2025-03-14,7,117,7254,0.45
2025-03-14,8,301,25886,0.64
2025-03-15,1,880,71280,0.81
2025-03-15,2,603,23517,0.72
2025-03-15,3,602,37324,0.7
2025-03-15,4,99,8019,0.34
2025-03-15,5,379,24256,0.55
2025-03-15,6,506,19228,0.66
2025-03-15,7,202,11312,0.45
2025-03-15,8,513,30267,0.76
2025-03-16,1,1104,75072,0.78
2025-03-16,2,679,50246,0.74
2025-03-16,3,638,51678,0.88
2025-03-16,4,304,25840,0.49
2025-03-16,5,458,24732,0.81
2025-03-16,6,433,22949,0.74
2025-03-16,7,256,22272,0.45
2025-03-16,8,552,44712,0.8
2025-03-17,1,1034,39292,0.66
2025-03-17,2,708,28320,0.59
2025-03-17,3,701,40658,0.63
2025-03-17,4,42,3108,0.52
2025-03-17,5,479,41194,0.62
2025-03-17,6,472,24544,0.66
2025-03-17,7,220,15620,0.47
2025-03-17,8,446,32112,0.6
2025-03-18,1,1017,82377,0.71
2025-03-18,2,713,32085,0.6
2025-03-18,3,633,51906,0.61
2025-03-18,4,372,23064,0.52
2025-03-18,5,361,27797,0.66
2025-03-18,6,451,24354,0.65
2025-03-18,7,226,17402,0.6
2025-03-18,8,393,25545,0.73
2025-03-19,1,978,59658,0.81
2025-03-19,2,756,37044,0.49
2025-03-19,3,664,36520,0.73
2025-03-19,4,169,8450,0.63
2025-03-19,5,409,26176,0.69
2025-03-19,6,420,29820,0.62
2025-03-19,7,190,14060,0.61
2025-03-19,8,430,17630,0.7
2025-03-20,1,893,52687,0.63
2025-03-20,2,695,50735,0.77
2025-03-20,3,712,27768,0.66
2025-03-20,4,200,16200,0.55
2025-03-20,5,468,34632,0.68
2025-03-20,6,365,31755,0.61
2025-03-20,7,205,14350,0.58
2025-03-20,8,297,12771,0.7
2025-03-21,1,904,70512,0.73
2025-03-21,2,845,65910,0.65
2025-03-21,3,684,53352,0.62
2025-03-21,4,201,8442,0.46
2025-03-21,5,480,27840,0.73
2025-03-21,6,394,21670,0.75
2025-03-21,7,160,10560,0.46
2025-03-21,8,454,38590,0.5
2025-03-22,1,783,50112,0.58
2025-03-22,2,773,35558,0.83
2025-03-22,3,644,54740,0.57
2025-03-22,4,250,12000,0.48
2025-03-22,5,393,26724,0.71
2025-03-22,6,403,25389,0.68
2025-03-22,7,30,1320,0.47
2025-03-22,8,416,32864,0.74
2025-03-23,1,1017,52884,0.66
2025-03-23,2,701,54678,0.76
2025-03-23,3,724,34752,0.76
2025-03-23,4,368,21344,0.53
2025-03-23,5,475,34200,0.62
2025-03-23,6,506,23276,0.65
2025-03-23,7,333,16317,0.49
2025-03-23,8,350,29750,0.64
2025-03-24,1,886,62906,0.61
2025-03-24,2,640,38400,0.61
2025-03-24,3,606,26058,0.7
2025-03-24,4,193,10422,0.54
2025-03-24,5,426,30246,0.7
2025-03-24,6,478,28680,0.55
2025-03-24,7,198,16236,0.61
2025-03-24,8,580,39440,0.6
2025-03-25,1,910,50960,0.82
2025-03-25,2,590,43070,0.61
2025-03-25,3,605,44165,0.75
2025-03-25,4,207,17181,0.53
2025-03-25,5,413,25606,0.61
2025-03-25,6,425,33150,0.72
2025-03-25,7,228,17556,0.65
2025-03-25,8,460,25760,0.58
2025-03-26,1,894,49170,0.61
2025-03-26,2,681,49032,0.73
2025-03-26,3,624,43056,0.75
2025-03-26,4,214,11556,0.5
2025-03-26,5,458,20152,0.81
2025-03-26,6,383,26044,0.68
2025-03-26,7,213,18744,0.55
2025-03-26,8,507,43602,0.75
2025-03-27,1,907,59862,0.63
2025-03-27,2,698,43276,0.67
2025-03-27,3,634,25360,0.72
2025-03-27,4,179,10024,0.52
2025-03-27,5,336,24864,0.67
2025-03-27,6,446,37464,0.76
2025-03-27,7,72,5472,0.54
2025-03-27,8,501,21042,0.64
2025-03-28,1,869,46926,0.67
2025-03-28,2,620,53940,0.67
2025-03-28,3,612,29988,0.63
2025-03-28,4,337,20557,0.44
2025-03-28,5,429,36036,0.63
2025-03-28,6,600,37200,0.77
2025-03-28,7,261,22707,0.62
2025-03-28,8,322,18676,0.65
2025-03-29,1,894,39336,0.73
2025-03-29,2,672,30912,0.69
2025-03-29,3,668,29392,0.71
2025-03-29,4,225,16650,0.51
2025-03-29,5,373,25737,0.63
2025-03-29,6,304,16416,0.67
2025-03-29,7,270,22410,0.53
2025-03-29,8,576,29376,0.77
2025-03-30,1,853,36679,0.54
2025-03-30,2,595,36295,0.71
2025-03-30,3,494,31616,0.62
2025-03-30,4,318,13038,0.38
2025-03-30,5,446,17840,0.63
2025-03-30,6,405,17010,0.54
2025-03-30,7,399,17556,0.44
2025-03-30,8,463,28706,0.72
2025-03-31,1,984,52152,0.78
2025-03-31,2,535,39055,0.61
2025-03-31,3,659,28996,0.61
2025-03-31,4,270,21870,0.41
2025-03-31,5,312,13728,0.72
2025-03-31,6,443,27909,0.73
2025-03-31,7,110,7920,0.51
2025-03-31,8,501,30060,0.69
2025-04-01,1,1027,59566,0.63
2025-04-01,2,707,59388,0.61
2025-04-01,3,665,41230,0.79
2025-04-01,4,339,21357,0.49
2025-04-01,5,479,18681,0.7
2025-04-01,6,636,32436,0.7
2025-04-01,7,244,13420,0.34
2025-04-01,8,488,22448,0.71
2025-04-02,1,993,53622,0.65
2025-04-02,2,669,49506,0.8
2025-04-02,3,621,42849,0.77
2025-04-02,4,158,6952,0.45
2025-04-02,5,446,38802,0.62
2025-04-02,6,464,30160,0.55
2025-04-02,7,235,17860,0.63
2025-04-02,8,373,23126,0.78
2025-04-03,1,908,63560,0.68
2025-04-03,2,686,55566,0.65
2025-04-03,3,651,42966,0.61
2025-04-03,4,261,11223,0.41
2025-04-03,5,430,27090,0.76
2025-04-03,6,460,31280,0.75
2025-04-03,7,198,12474,0.5
2025-04-03,8,414,26910,0.77
2025-04-04,1,955,43930,0.65
2025-04-04,2,650,40950,0.7
2025-04-04,3,631,48587,0.65
2025-04-04,4,351,18603,0.51
2025-04-04,5,536,31088,0.75
2025-04-04,6,380,17100,0.59
2025-04-04,7,182,10920,0.44
2025-04-04,8,445,35155,0.76
2025-04-05,1,1013,60780,0.7
2025-04-05,2,530,34980,0.53
2025-04-05,3,602,31304,0.63
2025-04-05,4,282,24252,0.58
2025-04-05,5,415,35275,0.66
2025-04-05,6,592,27824,0.76
2025-04-05,7,314,11932,0.4
2025-04-05,8,345,19665,0.81
2025-04-06,1,934,47634,0.7
2025-04-06,2,696,50112,0.63
2025-04-06,3,602,40936,0.68
2025-04-06,4,92,7544,0.34
2025-04-06,5,415,31125,0.68
2025-04-06,6,496,26784,0.64
2025-04-06,7,249,21912,0.57
2025-04-06,8,400,26800,0.63
2025-04-07,1,944,58528,0.68
2025-04-07,2,640,51200,0.59
2025-04-07,3,637,35672,0.72
2025-04-07,4,333,17316,0.42
2025-04-07,5,508,42164,0.68
